Site,Tube,Date Deployed,Date Collected,Mineral,Experiment,Type,Duration.days,Cell.density.sq.cm,cells.counted
D6,3,14-Feb-17,10-May-17,Pyrite,mineral,Exp,85,1045208.537,678
D6,3,14-Feb-17,10-May-17,Pyrite,mineral,Rep,85,2765640.289,897
D6,3,14-Feb-17,10-May-17,pyrite,control,internal Control,85,,NA
D6,4,14-Feb-17,10-May-17,Hematite,mineral,Exp,85,1831427.348,594
D6,4,14-Feb-17,10-May-17,Hematite,mineral,Rep,85,556519.5899,361
D6,4,14-Feb-17,10-May-17,hematite,control,internal Control,85,,NA
D6,5,14-Feb-17,10-May-17,Magnetite,mineral,Exp,85,1251783.676,406
D6,5,14-Feb-17,10-May-17,Magnetite,mineral,Rep,85,443982.3875,288
D6,5,14-Feb-17,10-May-17,magnetite,control,internal Control,85,0,
D6,6,14-Feb-17,10-May-17,sand,Control,Control,85,35549.50361,23
D6,6,14-Feb-17,10-May-17,sand,control,Control Rep,85,513354.6355,333
D1,1,,,fluid,fluid,fluid,,27.6,
D3,3,,,fluid,fluid,fluid,,60.8,
D6,6,,,fluid,fluid,fluid,,2315.5,
