Site,Query_Seq_ID,Hit_Seq_ID,GTDBtk_taxonomy
DeMMO3,OTU_221,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO5,OTU_2212,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO2,OTU_2218,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO5,OTU_2220,DeMMO5_45,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_2230,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_2252,DeMMO2_88,D_0__Bacteria; D_1__D_0__Bacteria; D_1__Acidobacteria
DeMMO2,OTU_2329,DeMMO2_33,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO3,OTU_2329,DeMMO3_73,D_0__Bacteria; D_1__Elusimicrobia
DeMMO1,OTU_2344,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO2,OTU_2346,DeMMO2_52,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Unclassified; D_4__Microgenomates
DeMMO6,OTU_2349,DeMMO6_30,D_0__Bacteria; D_1__Eremiobacteria
DeMMO1,OTU_2370,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO3,OTU_2388,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO4,OTU_241,DeMMO4_16,D_0__Bacteria; D_1__Planctomycetes; D_2__Planctomycetacia; D_3__Planctomycetales; D_4__Planctomycetaceae; D_5__Candidatus Brocadiae
DeMMO2,OTU_2419,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_2458,DeMMO2_27,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
