Site,Tube,Date Deployed,Date Collected,Mineral,Experiment,Type,Duration.days,Cell.density.sq.cm,cells.counted
DeMMO 3,F,27-Nov-17,17-Apr-18,control sand,control,Control Rep,199,212741.5748,132
Demmo 6,1,14-Feb-17,10-May-17,Pyrolusite,mineral,Exp,85,2081167.441,675
Demmo 6,1,14-Feb-17,10-May-17,Pyrolusite,mineral,Rep,85,4788226.72,1553
Demmo 6,1,14-Feb-17,10-May-17,pyrolusite,control,internal Control,85,116599.3061,3.85
Demmo 6,2,14-Feb-17,10-May-17,Siderite,mineral,Exp,85,183451.0559,119
Demmo 6,2,14-Feb-17,10-May-17,Siderite,mineral,Rep,85,1088123.937,352
Demmo 6,2,14-Feb-17,10-May-17,siderite,control,internal Control,85,1541.605512,1
Demmo 6,3,14-Feb-17,10-May-17,Pyrite,mineral,Exp,85,1045208.537,678
Demmo 6,3,14-Feb-17,10-May-17,Pyrite,mineral,Rep,85,2765640.289,897
Demmo 6,3,14-Feb-17,10-May-17,pyrite,control,internal Control,85,,NA
Demmo 6,4,14-Feb-17,10-May-17,Hematite,mineral,Exp,85,1831427.348,594
Demmo 6,4,14-Feb-17,10-May-17,Hematite,mineral,Rep,85,556519.5899,361
Demmo 6,4,14-Feb-17,10-May-17,hematite,control,internal Control,85,,NA
Demmo 6,5,14-Feb-17,10-May-17,Magnetite,mineral,Exp,85,1251783.676,406
Demmo 6,5,14-Feb-17,10-May-17,Magnetite,mineral,Rep,85,443982.3875,288
Demmo 6,5,14-Feb-17,10-May-17,magnetite,control,internal Control,85,0,
DeMMO 6,6,14-Feb-17,10-May-17,control sand,Control,Control,85,35549.50361,23
DeMMO 6,6,14-Feb-17,10-May-17,control sand,control,Control Rep,85,513354.6355,333
DeMMO 1,1,,,fluid,fluid,fluid,,27.6,
DeMMO 3,3,,,fluid,fluid,fluid,,60.8,
DeMMO 6,6,,,fluid,fluid,fluid,,2315.5,
