"","Site","DeltaG_norm","rxn.number","mineral"
"115","DeMMO4 ",9.52517875,16,"gypsum"
"116","DeMMO4 ",37.4840508333333,17,"gypsum"
"117","DeMMO4 ",-3.35304125,18,"gypsum"
"118","DeMMO4 ",37.634025,19,"gypsum"
"119","DeMMO4 ",-5.76165208333333,20,"gypsum"
"120","DeMMO4 ",-12.5164325,21,"gypsum"
"121","DeMMO4 ",NA,22,"gypsum"
"122","DeMMO4 ",-71.66456,23,"siderite"
"123","DeMMO4 ",24.11323875,24,"siderite"
"124","DeMMO4 ",-14.31431,25,"hematite"
"125","DeMMO4 ",-2.06778,26,"hematite"
"126","DeMMO4 ",25.8613666666667,27,"hematite"
"127","DeMMO4 ",-14.975725,28,"hematite"
"128","DeMMO4 ",-17.1484666666667,29,"hematite"
"129","DeMMO4 ",-23.43151,30,"hematite"
"130","DeMMO4 ",NA,31,"hematite"
"131","DeMMO4 ",-90.67957625,32,"pyrite"
"132","DeMMO4 ",6.695649375,33,"pyrite"
"133","DeMMO5 ",-76.753872,1,"pyrolusite"
"134","DeMMO5 ",-62.3107445,2,"pyrolusite"
"135","DeMMO5 ",-38.5316193333333,3,"pyrolusite"
"136","DeMMO5 ",-78.40739875,4,"pyrolusite"
"137","DeMMO5 ",-42.7104605,5,"pyrolusite"
"138","DeMMO5 ",-81.6839506666667,6,"pyrolusite"
"139","DeMMO5 ",-87.354394625,7,"pyrolusite"
"140","DeMMO5 ",-13.871662,8,"magnetite"
"141","DeMMO5 ",0.5714655,9,"magnetite"
"142","DeMMO5 ",24.3505905,10,"magnetite"
"143","DeMMO5 ",-15.525188875,11,"magnetite"
"144","DeMMO5 ",-18.8017408333333,12,"magnetite"
"145","DeMMO5 ",-24.47218475,13,"magnetite"
"146","DeMMO5 ",NA,14,"magnetite"
"147","DeMMO5 ",-2.06829075,15,"gypsum"
"148","DeMMO5 ",12.455379875,16,"gypsum"
"149","DeMMO5 ",36.1539617083333,17,"gypsum"
"150","DeMMO5 ",-3.72181775,18,"gypsum"
"151","DeMMO5 ",31.97512075,19,"gypsum"
"152","DeMMO5 ",-7.24157825,20,"gypsum"
"153","DeMMO5 ",-13.398439375,21,"gypsum"
"154","DeMMO5 ",NA,22,"gypsum"
"155","DeMMO5 ",-75.567813,23,"siderite"
"156","DeMMO5 ",21.101119375,24,"siderite"
"157","DeMMO5 ",-7.949422,25,"hematite"
"158","DeMMO5 ",6.4937055,26,"hematite"
"159","DeMMO5 ",30.2728303333333,27,"hematite"
"160","DeMMO5 ",-9.602949,28,"hematite"
"161","DeMMO5 ",-12.879501,29,"hematite"
"162","DeMMO5 ",-18.549944875,30,"hematite"
"163","DeMMO5 ",NA,31,"hematite"
"164","DeMMO5 ",-91.66389775,32,"pyrite"
"165","DeMMO5 ",6.571784375,33,"pyrite"
"166","DeMMO6 ",-73.20824,1,"pyrolusite"
"167","DeMMO6 ",-57.7701115,2,"pyrolusite"
"168","DeMMO6 ",-31.590584,3,"pyrolusite"
"169","DeMMO6 ",-74.351541625,4,"pyrolusite"
"170","DeMMO6 ",-51.6774305,5,"pyrolusite"
"171","DeMMO6 ",-74.2475248333333,6,"pyrolusite"
"172","DeMMO6 ",-82.763711375,7,"pyrolusite"
"173","DeMMO6 ",5.3992365,8,"magnetite"
"174","DeMMO6 ",20.837365,9,"magnetite"
"175","DeMMO6 ",47.0168925,10,"magnetite"
"176","DeMMO6 ",4.255934875,11,"magnetite"
"177","DeMMO6 ",4.3599515,12,"magnetite"
"178","DeMMO6 ",-4.156234875,13,"magnetite"
"179","DeMMO6 ",NA,14,"magnetite"
"180","DeMMO6 ",-3.289940375,15,"gypsum"
"181","DeMMO6 ",12.106623375,16,"gypsum"
"182","DeMMO6 ",38.327715875,17,"gypsum"
"183","DeMMO6 ",-4.43324175,18,"gypsum"
"184","DeMMO6 ",18.240869375,19,"gypsum"
"185","DeMMO6 ",-4.56429608333333,20,"gypsum"
"186","DeMMO6 ",-13.550624625,21,"gypsum"
"187","DeMMO6 ",NA,22,"gypsum"
"188","DeMMO6 ",-75.5835005,23,"siderite"
"189","DeMMO6 ",19.098576125,24,"siderite"
"190","DeMMO6 ",4.4717645,25,"hematite"
"191","DeMMO6 ",19.909893,26,"hematite"
"192","DeMMO6 ",46.0894205,27,"hematite"
"193","DeMMO6 ",3.328462875,28,"hematite"
"194","DeMMO6 ",3.43247966666667,29,"hematite"
"195","DeMMO6 ",-5.083706875,30,"hematite"
"196","DeMMO6 ",NA,31,"hematite"
"197","DeMMO6 ",-89.187363375,32,"pyrite"
"198","DeMMO6 ",9.7180831875,33,"pyrite"
