"","DeMMO.1.logK","DeMMO.2.logK","DeMMO.3.logK","DeMMO.4.logK","DeMMO.5.logK","DeMMO.6.logK","DeMMO1_logQ","DeMMO2_logQ","DeMMO3_logQ","DeMMO4_logQ","DeMMO5_logQ","DeMMO6_logQ","e.transfer","DeMMO1_DeltaG","DeMMO2_DeltaG","DeMMO3_DeltaG","DeMMO4_DeltaG","DeMMO5_DeltaG","DeMMO6_DeltaG","DeMMO1_DeltaG_norm","DeMMO2_DeltaG_norm","DeMMO3_DeltaG_norm","DeMMO4_DeltaG_norm","DeMMO5_DeltaG_norm","DeMMO6_DeltaG_norm"
"1","44.5424738551583","44.1713336290701","43.513699548783","42.4614807726785","41.0050542565055","42.6254214792476",15.5352,13.0303,14.9273,14.027,14.706,16.6729,2,-157429.941681334,-170262.554969043,-158375.100811063,-160963.402486653,-153507.743767132,-146416.480321348,-78.714971,-85.1312775,-79.18755,-80.4817,-76.753872,-73.20824
"2","46.5026628352651","46.1504747364654","45.5276376706803","44.5342361871078","43.1654407931245","44.6887626601754",23.5693,20.2778,22.4602,20.4265,21.8152,24.2091,2,-124465.263152284,-141457.979750595,-127798.807272406,-136470.33944281,-124621.488707215,-115540.223221437,-62.2326315,-70.72899,-63.899405,-68.23517,-62.3107445,-57.7701115
"3","36.7762376671464","36.4809118357136","35.9563553405352","35.1140979027771","33.9431842374402","35.2455454177585",-1.8495,-7.2942,-2.63610000000001,-7.6067,-5.66440000000001,1.6487,6,-209631.820580616,-239338.953034834,-213810.90664018,-241836.136989812,-231189.716293774,-189543.503890444,-34.9386368333333,-39.8898255,-35.6351516666667,-40.3060233333333,-38.5316193333333,-31.590584
"4","145.238740541755","144.086285160279","142.043036809093","138.770842051218","134.235884134411","139.280899879141",31.61,21.6826,30.1033,24.0982,26.7734,33.8496,8,-616692.422946557,-669238.035617437,-620171.388553154,-649144.916141169,-627259.190318757,-594812.332834485,-77.086552875,-83.6547545,-77.52142375,-81.143115,-78.40739875,-74.351541625
"5","6.91218181562948","6.89620408674236","6.86799354027116","6.82297944207286","6.76057201768725","6.82999053926403",-10.7947,-13.1468,-10.2656,-7.3643,-7.8738,-11.4898,2,-96099.8053630298,-109584.451361245,-94923.972484382,-80312.0967561059,-85420.9207666972,-103354.861034533,-48.0499025,-54.7922255,-47.461985,-40.15605,-42.7104605,-51.6774305
"6","95.6803776130094","94.8939430096302","93.4966018488793","91.2509949126048","88.123410159122","91.6016522751749",8.8715,0.244499999999995,8.8509,2.9436,4.1585,12.6388,6,-471134.123402219,-517492.649254034,-468956.279039701,-499895.140111835,-490103.70443068,-445485.149314317,-78.5223538333333,-86.2487748333333,-78.15938,-83.3158566666667,-81.6839506666667,-74.2475248333333
"7","150.624938918612","149.484139606539","147.460805283475","144.218482047277","139.720728930254","144.724048624652",22.5102,12.583,22.3162,17.596,19.9958,27.3642,8,-695311.664832294,-748502.380660349,-693329.338096895,-716791.198143439,-698835.157093807,-662109.690590491,-86.913958125,-93.562797625,-86.6661675,-89.5989,-87.354394625,-82.763711375
"8","39.2384168840921","38.8291872476569","38.1035709733421","36.9415339669527","35.3316056955748","37.1226559641698",36.068,35.875,34.5491,28.7978,30.5786,39.0367,2,-17206.6684949568,-16151.9195102596,-19692.5708595233,-46100.4770492017,-27743.3238976467,10798.4725542148,-8.603334,-8.07596,-9.846285,-23.05024,-13.871662,5.3992365
"9","41.1986058641989","40.8083283550523","40.1175090952393","39.014289381382","37.4919922321939","39.1859971450976",44.1021,43.1225,42.082,35.1973,37.6878,46.5729,2,15758.0100340928,12652.6557081873,10883.7226791346,-21607.4140053585,1142.93116227014,41674.7296541253,7.879005,6.326328,5.44186,-10.803705,0.5714655,20.837365
"10","20.8640667539479","20.4544726914741","19.7259696142124","18.5542574855998","16.9228385546484","18.7372488725251",59.7489,61.2399,56.2293,36.7057,41.9534,68.7401,6,211037.998978514,222992.953341515,202236.683214441,102752.63932254,146103.543314681,282101.354736244,35.1729998333333,37.1654921666667,33.7061133333333,17.12544,24.3505905,47.0168925
"11","124.02251265749","122.717699634627","120.402522507329","116.691054828315","111.542089890688","117.26983781883",113.7412,113.0614,108.5905,83.1814,90.2638,123.3048,8,-55799.3302010481,-52795.4937823084,-65441.2687469913,-189693.214391366,-124201.510840813,34047.4786677634,-6.97491625,-6.59943675,-8.18015875,-23.71165125,-15.525188875,4.255934875
"12","79.7682066998109","78.8675038653907","77.2662161225564","74.6911544954274","71.1030644763301","75.0933557299415",70.4699,68.7786,67.7163,47.256,51.7763,79.7302,6,-50464.3038430885,-55160.7428776849,-52908.6891850799,-155306.363799482,-112810.444822224,26159.7093123706,-8.41071733333333,-9.19345716666667,-8.818115,-25.8843933333333,-18.8017408333333,4.3599515
"13","129.408711034347","128.115554080886","125.820290981712","122.138694824374","117.026934686531","122.712986564341",104.6414,103.9618,100.8034,76.6792,83.4862,116.8194,8,-134418.572086785,-132059.838825215,-138599.218290738,-257339.496393636,-195777.477615863,-33249.8790882422,-16.8023215,-16.507479875,-17.3249025,-32.1674375,-24.47218475,-4.156234875
"14",NA,NA,NA,NA,NA,NA,11.8513,16.5957,11.175,7.32210000000001,7.7488,12.1056,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
