"","Site","Tube","Date.Deployed","Date.Collected","Mineral","Experiment","Type","Duration.days","Cell.density.sq.mm","cells.counted","X","X.1","X.2","Exp.Type","Date","Site.Date"
"40","D3","10","2017-02-15","11-May-17","hematite","mineral","Exp",85,2004.087166,130,NA,NA,NA,"hematite.mineral","2017-02","D3.2017-02"
"41","D3","10","2017-02-15","11-May-17","hematite","mineral","Rep",85,421.5356159,30,NA,NA,NA,"hematite.mineral","2017-02","D3.2017-02"
"42","D3","10","2017-02-15","11-May-17","hematite","control","Internal Control",85,NA,NA,NA,NA,NA,"hematite.control","2017-02","D3.2017-02"
"43","D3","11","2017-02-15","11-May-17","magnetite","mineral","Exp",85,1680.350008,109,NA,NA,NA,"magnetite.mineral","2017-02","D3.2017-02"
"44","D3","11","2017-02-15","11-May-17","magnetite","mineral","Rep",85,16723.723,541,NA,NA,NA,"magnetite.mineral","2017-02","D3.2017-02"
"45","D3","11","2017-02-15","11-May-17","magnetite","control","Internal Control",85,1298.329697,84,NA,NA,NA,"magnetite.control","2017-02","D3.2017-02"
"46","D3","12","2017-02-15","11-May-17","sand","Control","Control",85,2225.708052,144,NA,NA,NA,"sand.control","2017-02","D3.2017-02"
"47","D3","12","2017-02-15","11-May-17","sand","control","Control Rep",85,1360.154921,88,NA,NA,NA,"sand.control","2017-02","D3.2017-02"
"48","D3","1 Large","2017-08-30","17-Apr-18","calcite","mineral","Exp",231,2040.232381,132,NA,NA,NA,"calcite.mineral","2017-08","D3.2017-08"
"49","D3","1 Large","2017-08-30","17-Apr-18","calcite","mineral","Rep",231,1364.518918,97,NA,NA,NA,"calcite.mineral","2017-08","D3.2017-08"
"50","D3","1 Large","2017-08-30","17-Apr-18","calcite","control","Internal Control",231,1514.71798,98,NA,NA,NA,"calcite.control","2017-08","D3.2017-08"
"51","D3","3 Large","2017-08-30","17-Apr-18","muscovite","mineral","Exp",231,3446.75622,223,NA,NA,NA,"muscovite.mineral","2017-08","D3.2017-08"
"52","D3","3 Large","2017-08-30","17-Apr-18","muscovite","mineral","Rep",231,3622.772953,235,NA,NA,NA,"muscovite.mineral","2017-08","D3.2017-08"
"53","D3","3 Large","2017-08-30","17-Apr-18","muscovite","control","Internal Control",231,868.4971896,59,NA,NA,NA,"muscovite.control","2017-08","D3.2017-08"
"54","D3","6 Large","2017-08-30","17-Apr-18","sand","Control","Control",231,NA,NA,NA,NA,NA,"sand.control","2017-08","D3.2017-08"
"55","D3","6 Large","2017-08-30","17-Apr-18","sand","control","Control Rep",231,1112.854026,72,NA,NA,NA,"sand.control","2017-08","D3.2017-08"
"56","D3","A","2017-11-27","17-Apr-18","pyrolusite","mineral","exp",199,4008.413685,894,NA,NA,NA,"pyrolusite.mineral","2017-11","D3.2017-11"
"57","D3","A","2017-11-27","17-Apr-18","pyrolusite","control","Internal Control",199,NA,NA,NA,NA,NA,"pyrolusite.control","2017-11","D3.2017-11"
"58","D3","C","2017-11-27","17-Apr-18","pyrite","mineral","exp",199,2313.269941,108,NA,NA,NA,"pyrite.mineral","2017-11","D3.2017-11"
"59","D3","C","2017-11-27","17-Apr-18","pyrite","control","Internal Control",199,940.3793624,61,NA,NA,NA,"pyrite.control","2017-11","D3.2017-11"
