OTU.ID,NU.39.DeMMO6.5mmPyrex.Sep2016,NU.18.DeMMO3.Steri.Dec2015,NU.25.DeMMO1.D1.sand.Sep2016,NU.54.4800.D1.SlideBlank.Sep2016,NU.44.DeMMO3.D1.wool.Sep2016,NU.45.DeMMO3.D1.sand.Sep2016,NU.48.800.D1.SlideBlank.Sep2016,NU.03.DeMMO6.Steri.2.092316,NU.37.DeMMO6.D1.sand.Sep2016,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.26.DeMMO1.D1.3mmPyrex.Sep2016,NU.12.DeMMO3.Steri.1.120816,NU.36.DeMMO6.D1.wool.Sep2016,NU.24.DeMMO1.D1.wool.Sep2016,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.46.DeMMO3.D1.3mmPyrex.Sep2016,NU.47.DeMMO3.D1.5mmPyrex.Sep2016,NU.14.DeMMO1.Steri.1.120916,NU.38.DeMMO6.D1.3mmPyrex.Sep2016,NU.20.DeMMO6.Steri.120815,NU.27.DeMMO1.D1.5mmPyrex.Sep2016,34.DeMMO3.T11.bottom.051117,9.DeMMO3.Steri.051117,25.DuselD.T9.bottom.082917,26.DeMMO3.T7.bottom.051117,11.DeMMO3.T2.bottom.083017,25.DeMMO3.T7.top.051117,22.DuselD.T8.top.082917,17.DeMMO3.T5.bottom.083017,24.DeMMO6.T6.bottom.051017,7.DeMMO1.Steri.050917,16.DeMMO3.T5.top.083017,27.DuselD.T10.bottom.082917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,28.DeMMO3.T8.bottom.051117,27.DeMMO3.T8.top.051117,24.DuselD.T9.top.082917,36.DeMMO3.T12.bottom.051117,32.DeMMO3.T10.bottom.051117,16.DeMMO6.T2.bottom.051017,10.DeMMO3.T2.top.083017,23.DuselD.T8.bottom.082917,18.DuselD.T6.top.082917,13.DeMMO6.T1.top.051017,15.DeMMO3.T4.bottom.083017,1.DeMMO1.Steri.021517,30.DeMMO3.T9.bottom.051117,21.DuselD.T7.bottom.082917,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,12.DeMMO6.Steri#2.051017,6.DeMMO6.steri.082917,26.DuselD.T10.top.082917,33.DeMMO3.T11.top.051117,9.DeMMO3.T1.bottom.083017,12.DeMMO3.T3.top.083017,19.DeMMO6.T4.top.051017,17.DeMMO6.T3.top.051017,20.DuselD.T7.top.082917,7.DuselD.steri.082917,22.DeMMO6.T5.bottom.051017,14.DeMMO3.T4.top.083017,20.DeMMO6.T4.bottom.051017,15.DeMMO6.T2.top.051017,18.DeMMO6.T3.bottom.051017,21.DeMMO6.T5.top.051017,29.DeMMO3.T9.top.051117,14.DeMMO6.T1.bottom.051017,19.DuselD.T6.bottom.082917,31.DeMMO3.T10.top.051117,13.DeMMO3.T3.bottom.083017,35.DeMMO3.T12.top.051117,8.DeMMO3.T1.top.083017,23.DeMMO6.T6.top.051017,27.24790.AfterPacker.051616,30.DuselB.050416,34.4100L.DrillFluid.051716,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,15.24790.DitchFluid.050516,28.24790.071216,19.10dash1.071116,33.DuselB.071316,16.10dash1.050216,26.DeMMO1.SC1.top.041818,31.DeMMO1.SC7.top.041818,52.DeMMO3.B.top.041718,14.DeMMO3.steri.041718,53.DeMMO3.C.top.041718,56.DeMMO3.F.top.041718,30.DeMMO1.SC5.top.041818,41.DeMMO3.3.top.041718,22.DeMMO1.C.top.041818,21.DeMMO1.B.top.041818,42.DeMMO3.4.top.041718,18.800.DitchFluid.041818,55.DeMMO3.E.top.041718,47.DeMMO1.9.top.041818,54.DeMMO3.D.top.041718,34.DeMMO1.SC10.top.041818,20.DeMMO1.A.top.041818,45.DeMMO1.7.top.041818,40.DeMMO3.2.top.041718,43.DeMMO3.5.top.041718,1.DeMMO1.steri.113017,29.DeMMO1.SC4.top.041818,44.DeMMO3.6.top.041718,51.DeMMO3.A.top.041718,3.DeMMO3.steri.112717,12.DeMMO1.steri.041818,39.DeMMO3.1.top.041718,17.DeMMO6.041618,50.DeMMO1.12.top.041818,46.DeMMO1.8.top.041818,49.DeMMO1.11.top.041818,28.DeMMO1.SC3.top.041818,48.DeMMO1.10.top.041818,24.DeMMO1.E.top.041818,27.DeMMO1.SC2.top.041818,33.DeMMO1.SC9.top.041818,32.DeMMO1.SC8.top.041818,6.DeMMO6.steri.112817,23.DeMMO1.D.top.041818
OTU_295,0,3,0,0,60,2,0,0,0,396,0,0,143,0,0,0,0,10,3,0,0,0,0,11,77,0,6,9,12,0,6,0,2,53,0,0,3,0,8,0,18,23,0,13,14,0,0,0,0,0,0,53,61,0,0,0,5,4,0,0,0,0,4,0,24,0,0,0,0,3,0,0,0,8,4,0,0,2,0,0,0,0,0,0,37,0,0,0,0,0,4,129,7,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,13,7,130,1,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_7156,0,0,0,133,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3,0,0,2877,0,18,1,6,0,0,16,0,1162,2,0,3036,16,1,1,3,11,0,0,718,4,21,0,1,3,2,0,0,4,29,20,3,0,10,0,0,0,0,0,0,0,3,2,0,1,7,0,0,12,5,0,0,0,1,1,0,1,1,2,2,1,1,1,1,0,0,2,0,0,4,2,1,0,0,292,0,4,13,0,0,12,6,2,0,0,3467,13298,13,14,12,5,9580,10,12384,14996,10,16,4,6737,14,8111,13528,5453,14,8,1104,8809,9,3,36,9867,12,3,12598,6524,5590,10021,4290,7514,3886,11287,5979,16,9163
OTU_202,0,0,0,2346,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,4,0,0,1,1,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
OTU_618,0,0,2,0,8,12,0,0,0,2,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,143,0,0,0,0,0,0,0,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9,0,0,0,3,0,0,4,0,0,0,17,9,0,0,8,0,0,0,28,0,2,6,10,0,1,66,0,55,13,2,2,0,1,3,0,7
OTU_575,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,27,0,0,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_123,56,0,0,0,0,0,0,14,243,0,101,0,0,392,0,0,0,0,0,0,65,270,0,0,0,1,0,0,0,5,0,428,0,0,0,532,1,0,0,4,0,0,542,0,10,0,331,0,0,0,3,0,0,0,221,0,0,0,0,4,336,0,1,1049,0,11,494,492,374,0,201,0,0,1,0,0,4,0,425,0,0,275,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
OTU_767,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_49,0,7,0,0,11,27,0,0,0,5,0,0,0,0,2,0,0,8,9,0,0,0,0,108,47,0,131,31,23,0,62,0,0,374,0,0,1,428,289,2,155,153,0,78,0,1,0,485,0,117,0,77,107,0,0,1,137,80,142,0,0,0,0,0,139,0,1,0,0,155,0,0,155,125,195,153,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1103,89,568,820,0,1968,0,4,488,0,1340,0,1036,0,0,0,1075,266,0,0,1135,195,148,0,975,1,1,0,0,0,0,5,0,1,0,0,0
OTU_64,0,3894,642,2,103,5,2,0,0,82,0,342,5,0,1581,0,0,5,56,2,0,0,193,0,52,0,1,0,2,0,1,0,252,13,0,0,46,0,0,1,0,0,0,0,1,1,0,0,24,8,0,87,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,49,0,0,3,5,0,0,0,1754,0,17,0,0,10,21,190,9,0,0,35,38,783,10,339,530,51,6,352,795,3,12,556,147,490,14,1241,225,3,187,379,190,5,104,50,856,4,1,404,42,239,262,170,804,816,238,29,0,466
